track_id,HaloCatalogueIndex,corrected_bh_mass,first_snapshot_with_bh
355566,355566,380086.4375,GalaxyProperties_SFR_GE_0_z0.0.txt
13597202,13597202,359235.3125,GalaxyProperties_SFR_GE_0_z0.0.txt
356832,356832,4584867.0,GalaxyProperties_SFR_GE_0_z0.0.txt
4119974,4119974,591576.5625,GalaxyProperties_SFR_GE_0_z0.0.txt
22120529,22120529,722045.0625,GalaxyProperties_SFR_GE_0_z0.0.txt
12231,12231,110570600.0,GalaxyProperties_SFR_GE_0_z0.0.txt
423627,423627,1894474.75,GalaxyProperties_SFR_GE_0_z0.0.txt
750250,750250,369958.75,GalaxyProperties_SFR_GE_0_z0.0.txt
878603,878603,554640.25,GalaxyProperties_SFR_GE_0_z0.0.txt
878783,878783,23715488.0,GalaxyProperties_SFR_GE_0_z0.0.txt
879498,879498,137319.625,GalaxyProperties_SFR_GE_0_z0.0.txt
1496262,1496262,44308.6640625,GalaxyProperties_SFR_GE_0_z0.0.txt
1736054,1736054,1305876.875,GalaxyProperties_SFR_GE_0_z0.0.txt
3194354,3194354,336001.1875,GalaxyProperties_SFR_GE_0_z0.0.txt
7969650,7969650,1125961.375,GalaxyProperties_SFR_GE_0_z0.0.txt
10464168,10464168,2042219.875,GalaxyProperties_SFR_GE_0_z0.0.txt
2861293,2861293,2630817.75,GalaxyProperties_SFR_GE_0_z0.0.txt
2861565,2861565,880513.75,GalaxyProperties_SFR_GE_0_z0.0.txt
352850,352850,305022.34375,GalaxyProperties_SFR_GE_0_z0.0.txt
1480751,1480751,66799892.0,GalaxyProperties_SFR_GE_0_z0.0.txt
62851,62851,74654216.0,GalaxyProperties_SFR_GE_0_z0.0.txt
159903,159903,3579246.5,GalaxyProperties_SFR_GE_0_z0.0.txt
160134,160134,189447.46875,GalaxyProperties_SFR_GE_0_z0.0.txt
2819086,2819086,780428.25,GalaxyProperties_SFR_GE_0_z0.0.txt
16396831,16396831,21656586.0,GalaxyProperties_SFR_GE_0_z0.0.txt
160541,160541,1513196.75,GalaxyProperties_SFR_GE_0_z0.0.txt
1479423,1479423,843577.4375,GalaxyProperties_SFR_GE_0_z0.0.txt
2822180,2822180,27261372.0,GalaxyProperties_SFR_GE_0_z0.0.txt
4096132,4096132,710130.125,GalaxyProperties_SFR_GE_0_z0.0.txt
63405,63405,64117.24609375,GalaxyProperties_SFR_GE_0_z0.0.txt
2837880,2837880,82957.734375,GalaxyProperties_SFR_GE_0_z0.0.txt
32653211,32653211,558214.75,GalaxyProperties_SFR_GE_0_z0.0.txt
422803,422803,1403579.375,GalaxyProperties_SFR_GE_0_z0.0.txt
746823,746823,503406.03125,GalaxyProperties_SFR_GE_0_z0.0.txt
