halo_idx,track_id,logM,logR,compactness,DoR_matched,DoR_matched_flag
278111,278111,9.742298,0.6838938,8.716457,,0
405693,405693,10.311702,0.44656408,9.641855,,0
783428,783428,10.176438,0.36249703,9.632692,,0
1135700,1135700,10.572908,0.41332987,9.952913,,0
1559872,1559872,9.062742,0.47466686,8.350742,,0
2095328,2095328,9.3358345,0.4790872,8.617204,,0
2968254,2968254,9.116587,0.69339436,8.076495,,0
2968710,2968710,9.568694,0.62521523,8.630871,,0
405614,405614,10.236964,0.5284034,9.444359,,0
188550,188550,9.710468,0.36249703,9.166723,,0
277991,277991,9.499356,0.35304758,8.969785,,0
1558755,1558755,9.161208,0.29746345,8.715013,,0
17384,17384,9.78397,0.37033522,9.228467,,0
17393,17393,9.732207,0.53182495,8.93447,,0
78121,78121,10.264564,0.5164633,9.489868,,0
120365,120365,10.420846,0.5047041,9.66379,,0
125582,125582,11.479159,1.133885,9.778332,,0
181134,181134,10.070829,0.512918,9.301453,,0
269169,269169,9.704649,0.38080063,9.133448,,0
390441,390441,9.179112,0.65112823,8.20242,,0
391916,391916,9.870296,0.3327392,9.371187,,0
407588,407588,10.434775,0.5057394,9.676167,,0
559733,559733,9.04208,0.50158346,8.289704,,0
582588,582588,10.021295,0.43454963,9.369471,,0
791076,791076,10.143602,0.6001606,9.243361,,0
793657,793657,9.088125,0.5485398,8.265316,,0
793697,793697,10.456647,0.3016194,10.004218,,0
793880,793880,10.223494,0.27868944,9.805459,,0
1100998,1100998,9.731421,0.46398464,9.035444,,0
1101211,1101211,10.66047,0.39303508,10.070917,,0
1101266,1101266,10.39226,0.38080063,9.821058,,0
1509479,1509479,10.0285,0.37664467,9.463532,,0
1511771,1511771,9.110877,0.5026262,8.356937,,0
1511852,1511852,9.010154,0.5968199,8.1149235,,0
1511990,1511990,9.649398,0.35888693,9.111068,,0
1560241,1560241,9.613248,0.5522717,8.784841,,0
2042874,2042874,9.892029,0.5274208,9.100898,,0
2044190,2044190,9.193602,0.5113897,8.4265175,,0
2044987,2044987,9.086825,0.6620866,8.093696,,0
2107666,2107666,9.389155,0.38354936,8.813831,,0
