HaloCatalogueIndex,DoR,logM,logR,compactness,exsitu_frac
23874,0.6440065273446565,10.36092,0.13836534,10.153372,0.0031894532148272273
24097,0.6957839270194897,9.51062,-0.12850532,9.703378,0.0023126637542556336
496354,0.6951702056938576,9.050652,-0.21919622,9.379446,0.0
496985,0.6628986367088184,10.5637455,0.2729836,10.15427,0.031076906081664538
81796,0.6447050287842978,10.200603,0.2549418,9.81819,0.1546267589041649
1708028,0.6374923191842267,10.480284,0.3508374,9.954027,0.021970876101140208
440402,0.6630611435285877,10.447667,0.52147824,9.66545,0.20736229571776685
18408,0.7739284345876163,10.279072,0.14907452,10.05546,0.07843209095293555
949881,0.6041948742006057,9.927502,0.24516101,9.55976,0.016879259104188134
210509,0.6337119082588679,10.723161,0.71944684,9.6439905,0.45621599053816725
1528,0.6590177376839111,10.053191,0.4553617,9.370149,0.04779380345993583
2330,0.6139142587520242,10.400428,0.31625992,9.926038,0.13423614394463215
24297,0.7042781962206558,9.914794,0.1261481,9.725572,0.0003806549598828542
191081,0.6289114088051336,10.578762,0.7575514,9.442435,0.18037959075159773
18028,0.7003127085380463,10.785223,0.53762853,9.97878,0.13728761482129712
1867573,0.6459186292607492,10.582325,0.49315026,9.8426,0.35479843810247486
1172843,0.6280945210452531,10.9517565,0.7941802,9.760487,0.7490201964379777
94291,0.7280143651632898,9.573248,0.02784189,9.531485,0.00473471888494823
219478,0.6251911782760996,10.6552515,0.68731076,9.624286,0.2886520418094631
964959,0.678977150618202,9.868004,0.04009793,9.807857,0.001704084072487476
503246,0.6209744491158872,9.204988,0.30737174,8.74393,0.1602979170382879
1027827,0.6526772959494253,10.32953,0.22835371,9.9869995,0.0014176030105718445
7997,0.7331995762812181,10.456054,0.4363731,9.801494,0.2415915918750533
239461,0.6225507894912651,10.169034,0.16522546,9.921196,0.03155937313930997
1205136,0.6632527310407051,10.445241,0.56912637,9.591552,0.2891538701317602
21069,0.6777893009987741,10.304193,0.23322254,9.954359,0.05798396031096086
482149,0.6481326706955381,10.129361,0.13229969,9.930912,0.009806807069897436
273895,0.6836118974326965,10.148448,0.38764006,9.566988,0.0883855626478239
280889,0.6612462848563534,10.434152,0.11229986,10.265702,0.09057425553208112
4191,0.659869495975509,10.386727,0.4234449,9.75156,0.22114310430636036
2370827,0.6584083080664815,10.48862,0.14966181,10.264127,0.04197447852685505
5084444,0.6986605341616432,9.091573,-0.16629389,9.341014,0.0034689559780530926
26207,0.7092491364456447,9.101751,0.30737174,8.640694,0.04872629731066134
237565,0.6365896034080193,10.6217375,0.56553715,9.773432,0.5874385810143158
84311,0.642574602698517,9.057203,-0.060605075,9.148111,0.0008955494611964866
95655,0.6007258130434611,10.840495,0.8372149,9.584673,0.6630695398290261
618882,0.6032749928428384,9.027904,0.38967106,8.443397,0.022579442781540435
246865,0.6617600857676199,9.462238,-0.2662516,9.861616,0.0
29739,0.6081111756949498,9.875408,0.09401107,9.734391,0.0011784356122922879
247485,0.6430505535495931,9.444326,-0.09425747,9.585712,0.0003639309359472514
1082423,0.6141154387892174,10.121742,0.3682115,9.569425,0.0026132824197893246
1317,0.7586374718540401,10.36313,0.24516101,9.995388,0.0013088366174763904
1350,0.621941451538026,10.866623,0.6920498,9.828548,0.5551161020918824
14823,0.6807473739389485,10.029293,0.1353431,9.826279,0.006606018624501217
440671,0.6303379458585948,10.012322,0.23803738,9.655267,0.009125317181255466
441113,0.6457809342363422,9.213497,-0.1352387,9.416355,0.0006552718923617795
452771,0.7014374426816287,9.361473,-0.16026191,9.601866,0.0009126072041009022
571874,0.7033460608211456,9.450379,-0.19387741,9.741196,0.00037047623991655587
22568,0.6249553254607334,10.409768,0.35304758,9.880197,0.004926878382519362
22687,0.6528071359249324,9.756638,0.043858077,9.69085,0.002975927250308222
