soap_index,sgn,track_id,compactness,mass,r50_kpc,MgFe,lum_age_gyr,log_ssfr,DoR_choice
63416,180533,180533,9.727262496948242,40838832128.0,3.88336181640625,0.09377190207768435,4.434154033660889,-10.157781182339892,0.2484013766478928
63794,920514,920514,8.410801887512207,1121262080.0,2.666473388671875,0.11105826953285003,3.0344839096069336,-9.6949635234781,0.1446372276168203
64535,79636,79636,9.539358139038086,24987430912.0,3.734588623046875,0.0913312256124181,3.657803773880005,-10.240797945324896,0.2084549603658687
64561,433,433,9.831660270690918,180534181888.0,8.9111328125,0.273043428143421,11.615392684936523,,0.406263143583529
64574,6875,6875,10.035849571228027,61297291264.0,3.170013427734375,0.3139184062229239,11.585533142089844,,0.2948159623885058
64593,28590,28590,9.914201736450195,145707958272.0,6.805419921875,0.21668194120677728,10.421008110046387,,0.336552247849714
64893,64897,64897,9.687392234802246,16105180160.0,2.22015380859375,0.17413372246264572,7.031940937042236,-12.48047695000669,0.3256116155092677
65282,150911,150911,9.787817001342773,40995004416.0,3.54766845703125,0.09180668545047782,4.725285530090332,-10.254206079208316,0.1196147991764178
65546,65964,65964,9.7298583984375,11654293504.0,1.6765594482421875,0.30184724139607566,12.003567695617676,,0.245563353248031
65616,100792,100792,9.777446746826172,107602124800.0,6.85882568359375,0.1981288861324816,9.614797592163086,-12.26527241149021,0.2916948972742798
66108,52485,52485,9.833898544311523,142896873472.0,7.598876953125,0.3166573147254965,10.361289024353027,-11.235284351798168,0.1673974722297576
66432,12641,12641,9.57492446899414,10619658240.0,1.9989013671875,0.087768960044081,4.635706424713135,-10.262419264702494,0.2052921633129873
66617,53093,53093,9.38377571105957,17920671744.0,3.7994384765625,0.09592143301968004,3.836961507797241,-10.194888929815393,0.2047680934180347
66857,104334,104334,9.087178230285645,7301015040.0,3.292083740234375,0.10757363490734043,2.664971351623535,-10.801778656567535,0.2663166689012838
67070,297004,297004,9.452077865600586,16886036480.0,3.28826904296875,0.1284322122167712,7.853080749511719,-10.929639955934512,0.1394247449931549
67533,37566,37566,8.393424987792969,1223749632.0,2.902984619140625,0.11717777960348,5.008951663970947,,0.1249356129531845
67678,87405,87405,8.903711318969727,5387914752.0,3.56292724609375,0.09011387931665588,2.142427921295166,-9.857365745532814,0.1129784251831383
67990,2333,2333,9.919270515441895,39862759424.0,2.84576416015625,0.0985774072033683,9.928323745727539,,0.2141001098273039
68789,2495,2495,10.114931106567383,74337607680.0,3.192901611328125,0.29078589065047555,11.406375885009766,-12.355329358236867,0.3781416685322805
69100,339209,339209,8.081100463867188,2513384192.0,7.57598876953125,0.145485735658121,3.1389925479888916,,0.3748080042343062
69811,131223,131223,9.643649101257324,31429502976.0,3.7078857421875,0.0878266697620455,3.2658960819244385,-10.075629628926729,0.0931016954499287
70219,236847,236847,8.932960510253906,5670975488.0,3.5247802734375,0.09041458670607189,7.464905738830566,,0.4166769372638963
70949,630395,630395,9.512256622314453,28188944384.0,4.21905517578125,0.08874512108897054,4.516268253326416,-10.261136099557476,0.2687834442947988
72073,79099,79099,9.885479927062988,53332545536.0,3.63922119140625,0.1785567504056492,10.540446281433105,-11.76881265849301,0.24276642258952
72101,45680,45680,9.602237701416016,20341329920.0,2.956390380859375,0.09505694628943245,6.404889106750488,,0.2006247011491157
74174,285835,285835,9.1314115524292,6276139520.0,2.780914306640625,0.10865922237597614,2.862791061401367,-9.77036915113287,0.2135524464365236
75082,89688,89688,10.036664009094238,64654974976.0,3.2806396484375,0.09915042299413507,5.516564846038818,-10.98677409861033,0.1907068717096214
75542,42088,42088,10.053502082824707,36075601920.0,2.166748046875,0.21195621928659716,9.495359420776367,,0.2599773425291012
76004,17327,17327,9.288994789123535,13547872256.0,3.6468505859375,0.09617188795224219,1.8419654369354248,-9.708486394949599,0.3302761054972684
76005,17386,17386,8.941682815551758,2967257344.0,2.25830078125,0.11159292583062191,3.019554376602173,-9.871347867999356,0.3955337989574026
76098,117417,117417,9.9478120803833,190529159168.0,7.72857666015625,0.15279536546970704,8.151677131652832,-11.729759346742652,0.1401295983721292
76740,127899,127899,9.944398880004883,34670059520.0,2.49481201171875,0.09252092427749681,5.800231456756592,-10.439480047949923,0.3203473842809151
76900,7182,7182,9.93356990814209,133058068480.0,6.21795654296875,0.12785417441015257,7.25588846206665,-10.847622144242983,0.2422682162992702
76933,45928,45928,10.025703430175781,33928245248.0,2.170562744140625,0.15918468463685134,8.39055347442627,-12.152127196782317,0.2156133021115729
76946,811822,811822,10.127079010009766,166791102464.0,5.37109375,0.11061364875424318,7.74857234954834,,0.3316981439935129
77574,415381,415381,9.915637969970703,33420687360.0,2.544403076171875,0.08780986497624033,7.9725189208984375,-11.182961271866581,0.6225899661121357
78447,88505,88505,8.98777961730957,6246857728.0,3.45611572265625,0.10368372497795147,2.6052520275115967,-9.595382667572983,0.1641953771158005
78575,204053,204053,9.233054161071777,11966637056.0,3.658294677734375,0.09976935852931404,2.7396204471588135,-9.751183770655214,0.1388202811410723
78654,891798,891798,9.60698127746582,12767014912.0,2.1514892578125,0.1511236562291989,8.106886863708496,-11.21683275244523,0.1974997720364781
78754,1670616,1670616,8.732599258422852,2635393024.0,2.87628173828125,0.09528972109688844,2.5119407176971436,-9.719191820604651,0.1334464408934711
78928,2893,2893,9.317008972167969,12415629312.0,3.2958984375,0.1139305049520713,1.8923535346984863,-9.719233402371636,0.2747724766184583
79247,445152,445152,9.880107879638672,47866548224.0,3.414154052734375,0.18020763050367808,11.033129692077637,,0.1497316354696878
80503,1495593,1495593,9.873419761657715,38496260096.0,2.98309326171875,0.09944172037815413,8.196466445922852,,0.0807480841495497
