subhalo_id,DoR,logM,logR,compactness,MgFe,lum_age_gyr,log_ssfr,exsitu_frac
33744024,0.068912004731059,9.439731,0.8057341,8.23113,0.13919866,2.291726,-9.647385,
390732,0.1621754742983215,9.113334,0.21239622,8.79474,0.08131882,5.479241,-10.142369,
13309622,0.0502928052465227,9.8628025,0.7361883,8.75852,0.1196442,1.9707351,-9.625669,
1627067,0.1496052558012665,10.552963,0.6009918,9.651476,0.14481631,6.5392575,-11.226698,
27248646,0.0651998617555787,9.080269,0.5797194,8.21069,0.14494112,2.4858136,-9.821059,
13312701,0.0678984145510971,10.27549,0.7117939,9.207799,0.09419284,2.538068,-9.818309,
3111851,0.1369024860414269,9.470924,0.28475147,9.0437975,0.05532614,3.8742862,-10.075291,
395756,0.0670058720565132,9.725081,0.9262452,8.335713,0.12842357,2.1237657,-9.745603,
5822999,0.0818686345577667,9.083341,0.42903274,8.439792,0.13617018,3.0531464,-10.0333185,
3073691,0.1066010153337671,9.3299265,0.49527395,8.587015,0.09952656,3.3816023,-10.179916,
813256,0.5056045449706651,10.746878,0.70726657,9.685978,0.24037242,9.928324,-11.35236,
1619069,0.1085810880334523,9.702132,0.5072877,8.9412,0.07270164,3.389067,-9.875815,
816215,0.0781968506655524,10.011498,0.81950617,8.782239,0.09843508,2.3663752,-9.719515,
7466,0.3639235262328359,11.33973,0.9794001,9.87063,0.20274544,9.54015,-11.602637,
74930,0.2913916303604038,9.156799,0.46170187,8.464247,0.10146757,9.002676,,
178167,0.1349531129336318,10.258995,0.4690774,9.555379,0.07445551,3.9265404,-10.095172,
391365,0.2118402598707597,9.792255,0.00058938575,9.791371,0.0893906,8.211396,,
816223,0.1015808081903333,9.85636,0.37664467,9.291393,0.08560174,4.837259,-10.52554,
1622358,0.0747743746141212,9.952798,0.5904859,9.067069,0.09491991,3.7548475,-10.326813,
1624456,0.165621390045142,10.012322,0.14315762,9.797586,0.077551104,7.2708178,,
3084206,0.127359394265847,10.383934,0.58276105,9.509792,0.08487534,4.964162,-10.169211,
